Product Description,Storage,Color,Manufacturer,BrandName,ClassName,UnitCost,UnitPrice,ProductKey,ProductSubcategoryKey
SY 512MB MP3 Player E51 Silver,512MB,Silver,"SY, Ltd",SY,Economy,7.75,15.2,1,1
SY 512MB MP3 Player E51 Blue,512MB,Blue,"SY, Ltd",SY,Economy,7.75,15.2,2,1
SY 1G MP3 Player E100 White,1GB,White,"SY, Ltd",SY,Economy,8.66,16.99,3,1
SY 2G MP3 Player E200 Silver,2GB,Silver,"SY, Ltd",SY,Economy,12.87,25.24,4,1
SY 2G MP3 Player E200 Red,2GB,Red,"SY, Ltd",SY,Economy,12.87,25.24,5,1
SY 2G MP3 Player E200 Black,2GB,Black,"SY, Ltd",SY,Economy,12.87,25.24,6,1
SY 2G MP3 Player E200 Blue,2GB,Blue,"SY, Ltd",SY,Economy,12.87,25.24,7,1
SY 4G MP3 Player E400 Silver,4GB,Silver,"SY, Ltd",SY,Economy,35.78,70.19,8,1
SY 4G MP3 Player E400 Black,4GB,Black,"SY, Ltd",SY,Economy,35.78,70.19,9,1
SY 4G MP3 Player E400 Green,4GB,Green,"SY, Ltd",SY,Economy,35.78,70.19,10,1
SY 4G MP3 Player E400 Orange,4GB,Orange,"SY, Ltd",SY,Economy,35.78,70.19,11,1
SY 4GB Flash MP3 Player E401 Blue,4GB,Blue,"SY, Ltd",SY,Economy,41.79,90.89,12,1
SY 4GB Flash MP3 Player E401 Black,4GB,Black,"SY, Ltd",SY,Economy,41.79,90.89,13,1
SY 4GB Flash MP3 Player E401 Silver,4GB,Silver,"SY, Ltd",SY,Economy,41.79,90.89,14,1
SY 4GB Flash MP3 Player E401 White,4GB,White,"SY, Ltd",SY,Economy,41.79,90.89,15,1
SY 8GB Super-Slim MP3/Video Player M800 White,8GB,White,"SY, Ltd",SY,Regular,59.16,128.64,16,1
SY 8GB Super-Slim MP3/Video Player M800 Red,8GB,Red,"SY, Ltd",SY,Regular,59.16,128.64,17,1
SY 8GB Super-Slim MP3/Video Player M800 Green,8GB,Green,"SY, Ltd",SY,Regular,59.16,128.64,18,1
SY 8GB Super-Slim MP3/Video Player M800 Pink,8GB,Pink,"SY, Ltd",SY,Regular,59.16,128.64,19,1
SY 8GB MP3 Player new model M820 Black,8GB,Black,"SY, Ltd",SY,Regular,72.1,156.78,20,1
